"ch_version","name","is_aggregate","case_insensitive","alias_to","create_query"
"21.10.3.9","hasTokenCaseInsensitive",0,0,"",""
"21.10.3.9","toStartOfYear",0,0,"",""
"21.10.3.9","farmHash64",0,0,"",""
"21.10.3.9","toStartOfMonth",0,0,"",""
"21.10.3.9","queryID",0,0,"",""
"21.10.3.9","wordShingleMinHashCaseInsensitive",0,0,"",""
"21.10.3.9","dictGetDateOrDefault",0,0,"",""
"21.10.3.9","dictGetUInt64OrDefault",0,0,"",""
"21.10.3.9","arrayElement",0,0,"",""
"21.10.3.9","sleep",0,0,"",""
"21.10.3.9","dictHas",0,0,"",""
"21.10.3.9","enabledProfiles",0,0,"",""
"21.10.3.9","toDecimal32OrNull",0,0,"",""
"21.10.3.9","multiFuzzyMatchAny",0,0,"",""
"21.10.3.9","toStartOfWeek",0,0,"",""
"21.10.3.9","isValidUTF8",0,0,"",""
"21.10.3.9","dictGetInt8",0,0,"",""
"21.10.3.9","dictGetInt32OrDefault",0,0,"",""
"21.10.3.9","toMonday",0,0,"",""
"21.10.3.9","multiSearchFirstIndexUTF8",0,0,"",""
"21.10.3.9","lowCardinalityKeys",0,0,"",""
"21.10.3.9","halfMD5",0,0,"",""
"21.10.3.9","domainWithoutWWW",0,0,"",""
"21.10.3.9","MINUTE",0,1,"",""
"21.10.3.9","addDays",0,0,"",""
"21.10.3.9","toMinute",0,0,"",""
"21.10.3.9","JSONExtractRaw",0,0,"",""
"21.10.3.9","toUInt16OrNull",0,0,"",""
"21.10.3.9","bin",0,1,"",""
"21.10.3.9","toDayOfYear",0,0,"",""
