"ch_version","name","value","changed","description","min","max","readonly","type","is_obsolete"
"24.3.12.76.altinitystable","shared_merge_tree_partitions_hint_ratio_to_reload_merge_pred_for_mutations","0.5",0,"Only available in ClickHouse Cloud",\N,\N,0,"Float",0
"24.3.12.76.altinitystable","shared_merge_tree_parts_load_batch_size","32",0,"Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_relative_delay_to_measure","120",0,"Calculate relative replica delay only if absolute delay is not less that this value.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","cleanup_delay_period","30",0,"Minimum period to clean old queue logs, blocks hashes and parts.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_cleanup_delay_period","300",0,"Maximum period to clean old queue logs, blocks hashes and parts.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","cleanup_delay_period_random_add","10",0,"Add uniformly distributed value from 0 to x seconds to cleanup_delay_period to avoid thundering herd effect and subsequent DoS of ZooKeeper in case of very large number of tables.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","cleanup_thread_preferred_points_per_iteration","150",0,"Preferred batch size for background cleanup (points are abstract but 1 point is approximately equivalent to 1 inserted block).",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","cleanup_threads","128",0,"Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","kill_delay_period","30",0,"Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","kill_delay_period_random_add","10",0,"Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","kill_threads","128",0,"Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_relative_delay_to_close","300",0,"Minimal delay from other replicas to close, stop serving requests and not return Ok during status check.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_absolute_delay_to_close","0",0,"Minimal absolute delay to close, stop serving requests and not return Ok during status check.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","enable_vertical_merge_algorithm","1",0,"Enable usage of Vertical merge algorithm.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","vertical_merge_algorithm_min_rows_to_activate","131072",0,"Minimal (approximate) sum of rows in merging parts to activate Vertical merge algorithm.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","vertical_merge_algorithm_min_bytes_to_activate","0",0,"Minimal (approximate) uncompressed size in bytes in merging parts to activate Vertical merge algorithm.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","vertical_merge_algorithm_min_columns_to_activate","11",0,"Minimal amount of non-PK columns to activate Vertical merge algorithm.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_postpone_time_for_failed_mutations_ms","300000",0,"The maximum postpone time for failed mutations.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","allow_suspicious_indices","0",0,"Reject primary/secondary indexes and sorting keys with identical expressions",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","compatibility_allow_sampling_expression_not_in_primary_key","0",0,"Allow to create a table with sampling expression not in primary key. This is needed only to temporarily allow to run the server with wrong tables for backward compatibility.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","use_minimalistic_checksums_in_zookeeper","1",0,"Use small format (dozens bytes) for part checksums in ZooKeeper instead of ordinary ones (dozens KB). Before enabling check that all replicas support new format.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","use_minimalistic_part_header_in_zookeeper","1",0,"Store part header (checksums and columns) in a compact format and a single part znode instead of separate znodes (<part>/columns and <part>/checksums). This can dramatically reduce snapshot size in ZooKeeper. Before enabling check that all replicas support new format.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","finished_mutations_to_keep","100",0,"How many records about mutations that are done to keep. If zero, then keep all of them.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_merge_bytes_to_use_direct_io","10737418240",0,"Minimal amount of bytes to enable O_DIRECT in merge (0 - disabled).",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","index_granularity_bytes","10485760",0,"Approximate amount of bytes in single granule (0 - disabled).",\N,\N,0,"UInt64",0
